 1,        1,   0.00%,   1.01
 1,       10,  30.00%,   7.52
 1,      100,  32.00%,  13.90
 1,     1000,  28.20%,  15.15
 1,    10000,  29.16%,  14.76
 1,   100000,  28.98%,  15.12
 1,   500000,  29.06%,  15.30
 1,  1000000,  29.09%,  15.10
 2,        1,   0.00%,   0.68
 2,       10,  60.00%,   6.28
 2,      100,  28.00%,  21.78
 2,     1000,  29.30%,  29.87
 2,    10000,  28.85%,  30.48
 2,   100000,  28.82%,  30.30
 2,   500000,  29.11%,  30.47
 2,  1000000,  29.09%,  30.33
 4,        1, 100.00%,   0.50
 4,       10,  50.00%,   4.77
 4,      100,  31.00%,  25.22
 4,     1000,  29.90%,  55.59
 4,    10000,  28.69%,  60.54
 4,   100000,  29.18%,  54.33
 4,   500000,  29.05%,  60.74
 4,  1000000,  29.08%,  59.29
 8,        1,   0.00%,   0.36
 8,       10,  20.00%,   3.15
 8,      100,  31.00%,  27.75
 8,     1000,  28.40%,  70.27
 8,    10000,  28.57%,  79.47
 8,   100000,  29.17%,  80.85
 8,   500000,  29.04%,  81.68
 8,  1000000,  29.02%, 103.50
12,        1,   0.00%,   0.30
12,       10,   0.00%,   2.91
12,      100,  25.00%,  28.70
12,     1000,  27.30%,  83.89
12,    10000,  28.40%, 117.34
12,   100000,  28.80%, 120.62
12,   500000,  29.05%, 121.01
12,  1000000,  29.04%, 122.57
16,        1,   0.00%,   0.23
16,       10,  20.00%,   2.34
16,      100,  31.00%,  23.03
16,     1000,  28.40%,  94.13
16,    10000,  28.21%, 154.14
16,   100000,  29.01%, 159.26
16,   500000,  29.08%, 160.97
16,  1000000,  29.06%, 160.28
20,        1,   0.00%,   0.21
20,       10,  30.00%,   2.25
20,      100,  34.00%,  18.77
20,     1000,  30.10%, 103.93
20,    10000,  29.38%, 189.22
20,   100000,  28.74%, 199.38
20,   500000,  29.16%, 193.97
20,  1000000,  29.08%, 182.55
24,        1, 100.00%,   0.00
24,       10,  30.00%,   0.00
24,      100,  30.00%,   0.06
24,     1000,  26.70%,   0.56
24,    10000,  28.94%,   3.04
24,   100000,  29.26%,  23.88
24,   500000,  29.13%,  90.06
24,  1000000,  29.14%, 107.71
32,        1,   0.00%,   0.02
32,       10,  40.00%,   0.21
32,      100,  29.00%,   1.71
32,     1000,  31.00%,  14.27
32,    10000,  29.25%,  83.11
32,   100000,  29.25%, 113.29
32,   500000,  29.16%, 155.58
32,  1000000,  29.13%, 160.44
