month, year,  temp, precip, height, deer, DeerGetHunt
    1, 2022, -0.73,  24.77,   9.60,    1,      0
    2, 2022, 11.42,  24.56,  11.79,    2,      0
    3, 2022, 15.61,  33.87,   7.07,    3,      0
    4, 2022, 17.63,  37.58,   0.00,    2,      0
    5, 2022, 25.32,  26.87,   0.00,    1,      0
    6, 2022, 23.52,  22.32,   0.00,    0,      0
    7, 2022, 23.44,  12.16,   0.00,    0,      0
    8, 2022, 23.90,   4.75,   0.00,    0,      0
    9, 2022, 21.60,   1.53,   0.00,    0,      0
   10, 2022, 10.00,   7.78,   5.20,    0,      0
   11, 2022, 11.69,   3.46,   7.18,    0,      0
   12, 2022,  8.40,  11.34,  17.31,    0,      0
    1, 2023,  9.96,  26.28,  25.82,    0,      0
    2, 2023,  6.19,  33.42,  44.56,    1,      0
    3, 2023, 17.45,  36.16,  42.10,    2,      0
    4, 2023, 23.01,  36.19,  37.02,    3,      0
    5, 2023, 23.92,  33.36,  29.40,    4,      0
    6, 2023, 21.39,  17.44,  19.25,    5,      0
    7, 2023, 30.66,  13.93,   6.55,    4,      1
    8, 2023, 24.51,   3.30,   0.00,    4,      0
    9, 2023, 22.91,   3.76,   0.00,    3,      0
   10, 2023, 14.12,   4.27,   0.00,    3,      0
   11, 2023,  9.14,  11.91,   0.81,    2,      0
   12, 2023,  6.17,  11.48,  11.10,    1,      0
    1, 2024,  7.58,  24.24,  25.15,    2,      0
    2, 2024, 12.88,  32.62,  22.18,    3,      0
    3, 2024, 15.61,  33.12,  14.92,    3,      0
    4, 2024, 18.21,  34.32,   7.35,    4,      0
    5, 2024, 22.81,  33.10,   0.00,    4,      0
    6, 2024, 25.00,  18.94,   0.00,    3,      0
    7, 2024, 31.61,  13.64,   0.00,    2,      0
    8, 2024, 20.66,   2.69,   0.00,    1,      0
    9, 2024, 16.54,   4.03,   0.00,    1,      0
   10, 2024, 11.87,   7.84,   0.00,    0,      0
   11, 2024,  5.86,   7.01,  12.68,    0,      0
   12, 2024,  3.75,  13.97,  31.06,    0,      0
    1, 2025, -0.62,  23.51,  40.97,    1,      0
    2, 2025,  9.76,  29.98,  47.28,    2,      0
    3, 2025, 13.52,  32.18,  43.68,    3,      0
    4, 2025, 19.58,  32.10,  36.07,    4,      0
    5, 2025, 25.57,  26.36,  25.91,    4,      0
    6, 2025, 27.49,  26.09,  15.75,    5,      0
    7, 2025, 25.64,  17.60,   3.05,    6,      1
    8, 2025, 23.76,  10.68,   0.00,    5,      1
    9, 2025, 18.29,   0.00,   0.00,    4,      1
   10, 2025, 10.58,   6.05,   0.00,    3,      0
   11, 2025, 13.12,   6.07,   0.00,    3,      0
   12, 2025,  6.97,  10.74,   5.70,    3,      0
    1, 2026,  7.22,  20.93,  15.36,    2,      0
    2, 2026,  6.53,  28.63,  29.81,    3,      0
    3, 2026, 16.99,  33.03,  22.32,    3,      0
    4, 2026, 15.52,  32.92,  15.09,    3,      0
    5, 2026, 20.44,  31.43,   7.48,    4,      0
    6, 2026, 29.11,  23.95,   0.00,    4,      0
    7, 2026, 29.11,   9.83,   0.00,    3,      0
    8, 2026, 26.29,   8.46,   0.00,    3,      0
    9, 2026, 21.05,   2.67,   0.00,    3,      0
   10, 2026, 11.47,   3.34,   0.00,    2,      0
   11, 2026,  7.09,   9.77,   7.39,    1,      0
   12, 2026,  0.60,  18.55,  18.02,    2,      0
    1, 2027,  0.09,  22.42,  25.13,    2,      0
    2, 2027,  4.68,  28.90,  42.44,    3,      0
    3, 2027, 11.36,  34.64,  39.08,    4,      0
    4, 2027, 15.72,  35.14,  29.24,    5,      0
    5, 2027, 24.14,  30.62,  16.54,    4,      1
    6, 2027, 30.95,  25.88,   6.38,    4,      0
    7, 2027, 30.23,   9.80,   0.00,    4,      0
    8, 2027, 28.90,   3.27,   0.00,    4,      0
    9, 2027, 16.29,   3.26,   0.00,    3,      0
   10, 2027, 14.52,   2.60,   0.00,    2,      0
   11, 2027,  5.96,   9.18,   9.04,    1,      0
   12, 2027,  8.81,   9.75,  14.93,    2,      0
