       1	,    8	,     131072	,      1.702 GigaMultsPerSecond
       1	,   16	,      65536	,      2.169 GigaMultsPerSecond
       1	,   32	,      32768	,      3.027 GigaMultsPerSecond
       1	,   64	,      16384	,      2.957 GigaMultsPerSecond
       1	,  128	,       8192	,      3.142 GigaMultsPerSecond
       1	,  256	,       4096	,      3.308 GigaMultsPerSecond
       1	,  512	,       2048	,      3.654 GigaMultsPerSecond
       2	,    8	,     262144	,      2.111 GigaMultsPerSecond
       2	,   16	,     131072	,      3.217 GigaMultsPerSecond
       2	,   32	,      65536	,      4.241 GigaMultsPerSecond
       2	,   64	,      32768	,      5.284 GigaMultsPerSecond
       2	,  128	,      16384	,      5.243 GigaMultsPerSecond
       2	,  256	,       8192	,      6.890 GigaMultsPerSecond
       2	,  512	,       4096	,      4.675 GigaMultsPerSecond
       4	,    8	,     524288	,      2.393 GigaMultsPerSecond
       4	,   16	,     262144	,      4.203 GigaMultsPerSecond
       4	,   32	,     131072	,      6.207 GigaMultsPerSecond
       4	,   64	,      65536	,      8.376 GigaMultsPerSecond
       4	,  128	,      32768	,      7.055 GigaMultsPerSecond
       4	,  256	,      16384	,      7.490 GigaMultsPerSecond
       4	,  512	,       8192	,      7.204 GigaMultsPerSecond
       8	,    8	,    1048576	,      2.677 GigaMultsPerSecond
       8	,   16	,     524288	,      4.668 GigaMultsPerSecond
       8	,   32	,     262144	,      8.151 GigaMultsPerSecond
       8	,   64	,     131072	,     10.137 GigaMultsPerSecond
       8	,  128	,      65536	,     11.005 GigaMultsPerSecond
       8	,  256	,      32768	,     10.388 GigaMultsPerSecond
       8	,  512	,      16384	,      9.516 GigaMultsPerSecond
