       1	   8	    131072	     1.693 GigaMultsPerSecond
       1	  16	     65536	     2.560 GigaMultsPerSecond
       1	  32	     32768	     2.891 GigaMultsPerSecond
       1	  64	     16384	     3.283 GigaMultsPerSecond
       1	 128	      8192	     3.923 GigaMultsPerSecond
       1	 256	      4096	     3.477 GigaMultsPerSecond
       1	 512	      2048	     3.308 GigaMultsPerSecond
       2	   8	    262144	     2.150 GigaMultsPerSecond
       2	  16	    131072	     3.552 GigaMultsPerSecond
       2	  32	     65536	     5.087 GigaMultsPerSecond
       2	  64	     32768	     4.806 GigaMultsPerSecond
       2	 128	     16384	     5.405 GigaMultsPerSecond
       2	 256	      8192	     5.660 GigaMultsPerSecond
       2	 512	      4096	     5.781 GigaMultsPerSecond
       4	   8	    524288	     2.301 GigaMultsPerSecond
       4	  16	    262144	     3.985 GigaMultsPerSecond
       4	  32	    131072	     6.351 GigaMultsPerSecond
       4	  64	     65536	     6.687 GigaMultsPerSecond
       4	 128	     32768	     9.487 GigaMultsPerSecond
       4	 256	     16384	     9.467 GigaMultsPerSecond
       4	 512	      8192	     7.722 GigaMultsPerSecond
       8	   8	   1048576	     2.762 GigaMultsPerSecond
       8	  16	    524288	     4.716 GigaMultsPerSecond
       8	  32	    262144	     7.920 GigaMultsPerSecond
       8	  64	    131072	     9.413 GigaMultsPerSecond
       8	 128	     65536	    11.934 GigaMultsPerSecond
       8	 256	     32768	    11.685 GigaMultsPerSecond
       8	 512	     16384	    11.339 GigaMultsPerSecond
